'filename','chroma_stft','spectral_centroid','spectral_bandwidth','rolloff','zero_crossing_rate','mfcc1','mfcc2','mfcc3','mfcc4','mfcc5','mfcc6','mfcc7','mfcc8','mfcc9','mfcc10','mfcc11','mfcc12','mfcc13','mfcc14','mfcc15','mfcc16','mfcc17','mfcc18','mfcc19','mfcc20','label',,,,,,
'data/fma_small/069/069198.mp3',0.461208164691925,2264.2921018128,2755.77446740011,5494.98033280162,0.05541557907966,-68.6451721191406,87.2679595947266,15.5378465652466,23.869514465332,9.18423366546631,18.2489166259766,11.381947517395,12.6490535736084,3.14840841293335,6.93522453308106,0.258377313613892,4.83162879943848,3.01607751846313,9.69957828521729,-0.084841348230839,4.15788269042969,-0.54082590341568,4.804283618927,-1.07565116882324,4.08153057098389,'ElectroHouse',,,,,,
'data/fma_small/069/069766.mp3',0.34854930639267,1735.85426838815,2104.55442146529,3675.14155624637,0.081662678847641,-56.8751106262207,121.373985290527,-10.9534330368042,26.7827091217041,7.34079074859619,9.0513219833374,4.65253067016602,8.1024284362793,-3.57160329818726,2.84929871559143,-10.5950126647949,-2.1725902557373,-7.71846771240234,2.52080178260803,-2.29921174049377,-0.078495934605599,-5.64633703231812,1.61724925041199,-4.75417757034302,2.78466391563416,'Folk',,,,,,
'data/fma_small/069/069793.mp3',0.497940331697464,1315.19747550051,2055.25162082827,2912.03681255438,0.025216913186388,-120.239814758301,130.102279663086,31.7635097503662,30.8741970062256,4.92234230041504,26.4617099761963,-7.14453411102295,7.96400833129883,0.925822019577026,1.84721100330353,1.55791640281677,6.61208343505859,-4.20464134216309,3.86820554733276,2.55458855628967,6.33920764923096,-7.61440753936768,1.87607431411743,0.422177404165268,6.94085264205933,'Experimental',,,,,,
'data/fma_small/069/069201.mp3',0.550323665142059,2778.72196495714,2907.22511155245,6252.28959723028,0.090591843701663,-55.8336601257324,71.2206115722656,15.0422525405884,23.9147510528564,16.6570625305176,20.3476295471191,3.07465839385986,10.3955516815186,6.6596999168396,12.1909942626953,-2.38100099563599,-4.19734621047974,-5.32567548751831,2.01392555236816,-1.68695676326752,3.00681829452515,0.978915512561798,6.42199277877808,-5.17214822769165,-3.70817542076111,'ElectroHouse',,,,,,
'data/fma_small/069/069763.mp3',0.345065355300903,1526.66134239797,2184.1638804019,3196.02362329611,0.056108915796597,-163.745452880859,124.949295043945,7.90868663787842,18.8045597076416,9.97100353240967,12.1932888031006,-1.24973738193512,-1.0599730014801,-4.00864934921265,2.42142796516418,2.20454859733582,-0.197565510869026,-6.31574678421021,-4.45091485977173,-14.6370935440063,-2.66813349723816,-8.96981811523438,5.01141500473022,1.79760682582855,2.25651431083679,'Folk',,,,,,
'data/fma_small/069/069768.mp3',0.282528847455978,688.009025994311,1231.57436415345,1109.92512769272,0.026455862997489,-308.513702392578,160.16975402832,21.5086231231689,17.7711029052734,28.3195858001709,15.5693769454956,10.8413228988647,12.9018573760986,-2.19293165206909,1.15625178813934,-5.50521516799927,-12.0757265090942,-4.60286474227905,-0.490872889757156,-1.98626554012299,-4.53587532043457,-6.15043067932129,-6.36636209487915,-10.9372940063477,-5.57826995849609,'Folk',,,,,,
'data/fma_small/069/069791.mp3',0.572117209434509,1367.30693527458,2036.74443177336,2729.20443010441,0.048339088481245,-34.3007926940918,141.257873535156,6.66021347045898,18.0320873260498,2.53556990623474,9.4628849029541,4.92953062057495,7.17882204055786,6.21367502212524,6.19956684112549,-4.10865545272827,8.15449810028076,-1.43777203559876,3.26325869560242,-3.58766484260559,1.73132252693176,-0.404573023319244,7.27774858474731,-2.1051754951477,-0.584356844425201,'Experimental',,,,,,
'data/fma_small/069/069221.mp3',0.381294965744019,2397.89483184633,2495.34148545163,5233.65252529531,0.085268051655693,-104.638000488281,79.0857315063477,-19.8714866638184,7.70034599304199,-7.4037561416626,10.2671670913696,-5.3547215461731,2.48173451423645,-10.9652118682861,-1.67781150341034,-10.0896406173706,-0.311118543148041,-9.17252254486084,-3.89204263687134,-9.19454765319824,-1.83725821971893,-8.68911647796631,-2.68855476379395,-8.80775451660156,-3.42622113227844,'Electronic',,,,,,
'data/fma_small/069/069798.mp3',0.340632766485214,1718.29475647358,2408.07302991497,4217.8868855354,0.046915375652048,-118.500999450684,111.680953979492,22.3194179534912,10.2700357437134,1.6071537733078,27.1854076385498,-12.8418960571289,10.3402986526489,-4.64799737930298,-5.45169353485107,-2.10458207130432,4.93250846862793,-7.79963636398315,0.944966971874237,-6.43649196624756,-3.98337841033936,-21.6161499023437,-5.15886211395264,-7.92496252059937,-2.67486929893494,'Experimental',,,,,,
'data/fma_small/069/069765.mp3',0.353974252939224,2071.20224143849,2368.45734620705,4148.58624843026,0.079037414267774,-119.623626708984,91.4866333007813,-13.7228689193726,35.3201675415039,35.0368995666504,3.86018395423889,-6.91570615768433,5.94525003433228,-5.24161100387573,-3.39928507804871,-8.96863269805908,-1.55478453636169,-6.92588090896606,0.568914353847504,-5.75006055831909,2.69494771957397,-5.37743520736694,0.01247136015445,-10.3745040893555,-0.181687220931053,'Folk',,,,,,
'data/fma_small/069/069732.mp3',0.473838090896606,2229.50200308162,2760.48540057499,5221.41069886858,0.049652241112829,-125.401023864746,87.2516937255859,32.5501327514648,8.29397678375244,4.13733005523682,20.5556411743164,16.496187210083,20.4978542327881,9.77502822875977,10.6230363845825,0.544880568981171,4.48305654525757,2.67096662521362,6.53525733947754,-0.840358793735504,5.4447021484375,-0.346120655536652,5.73936080932617,1.42601954936981,4.67587995529175,'Electronic',,,,,,
'data/fma_small/069/069194.mp3',0.54565441608429,2004.41309959479,2392.29963790708,4565.58030697143,0.049297902165507,-52.2540588378906,108.445388793945,-2.59156036376953,23.7250804901123,9.05782032012939,18.653657913208,5.96737861633301,15.4070806503296,4.3732328414917,11.8194332122803,2.79801273345947,9.83487415313721,2.29676580429077,4.99991703033447,-0.985052645206451,2.67149806022644,-1.64841318130493,2.89600920677185,-2.80415511131287,2.31995868682861,'ElectroHouse',,,,,,
'data/fma_small/069/069824.mp3',0.403135746717453,2222.00681471729,2685.71134911938,5147.72520934964,0.069080476598725,-76.4814834594727,97.4545516967774,33.6079597473145,19.6330795288086,5.49029064178467,11.7318239212036,1.92109048366547,8.50787734985352,-3.30041646957397,2.9438591003418,-3.04323244094849,3.60261297225952,-3.42295050621033,2.94202542304993,-3.6374614238739,7.48676443099976,-3.24885296821594,4.64727210998535,1.43511354923248,1.47343635559082,'HipHop',,,,,,
